年度,慣常水力,風力,太陽能,承攬水力,民營水力,民營風力,民營太陽能,民營生質能,垃圾沼氣,地熱,再生能源,台電系統,Wind,Water,Sun,Trash
95,3364,174,0,644,60,93,0,0,2228,0,6563,196567,267,4068,0,2228
96,3401,276,0,902,95,154,0,0,2316,0,7144,201856,430,4398,0,2316
97,3411,273,0,728,144,330,0,0,2279,0,7165,200241,603,4283,0,2279
98,2957,372,0,625,147,476,1,0,2262,0,6841,193605,848,3729,1,2262
99,3433,515,4,620,116,507,2,0,2357,0,7554,207385,1022,4169,6,2357
100,3095,803,9,768,113,730,29,0,2393,0,7939,213042,1533,3976,38,2393
101,4687,737,13,804,157,753,125,0,2373,0,9649,211708,1490,5648,138,2373
102,4539,748,17,712,150,869,284,0,2430,0,9750,213429,1617,5401,301,2430
103,3601,707,23,559,135,780,489,0,2494,0,8788,219224,1487,4295,512,2494
104,3748,716,25,587,112,787,786,1,2526,0,9289,219104,1503,4447,811,2526
105,5519,646,23,852,166,801,1045,3,2545,0,11599,225793,1447,6537,1068,2545
106,4503,746,24,777,144,952,1597,3,2501,0,11246,231080,1698,5424,1621,2501
107,3555,731,31,757,132,913,2631,6,2658,0.001,11414,233289,1644,4444,2662,2658
108,4623,752,147,769,126,1066,3815,13,2735,1,14048,232472,1818,5518,3962,2735
109,,,8100,,,,,,,,,,,,8100,
114,,,25600,,,,,,,,,,,,25600,